company,company_plot_number,measurement_number,tree_number,tree_type,dbh,dbh_height,rcd,rcd_height,height,crown_class,dbh_age,stump_age,stump_height,total_age,stand_age_representative,htlc,crown_diameter_ns,crown_diameter_ew,condition_code1,cause1,severity1,condition_code2,cause2,severity2,condition_code3,cause3,severity3,leader_count,trees_measurement_comment,measurement_year,measurement_month,measurement_day,stand_origin,plot_type,stand_type,plot_status,tree_plot_area,tree_plot_shape,tree_tagging_limit,sapling_plot_area,sapling_plot_shape,sapling_tagging_limit_dbh,sapling_tagging_limit_height,number_sapling_plots,regen_plot_area,regen_plot_shape,regen_tagging_limit_conifer,regen_tagging_limit_decid,number_regen_plots,contractor,cruiser_1_name,cruiser_2_name,shrub_cover,herb_forb_cover,grass_cover,moss_lichen_cover,avi_field_call,plot_measurement_comment,tree_label,tree_location,tree_origin,sector_or_quarter,species,distance,azimuth,trees_comment,company_stand_number,plot_program,establishment_year,establishment_month,establishment_day,fmu,fma,ats_township,ats_range,ats_meridian,ats_section,opening_number,sampling_unit_number,topographic_position,elevation,slope,aspect,x_coord,y_coord,utm_zone,datum,latitude,longitude,natural_subregion,ecosite_guide,ecosite,ecosite_phase,plot_comment,shared
WFML,2010514_1,5,9,T,NA,1.3,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,14,99,9,NA,NA,NA,NA,NA,NA,NA,NA,1998,1,1,N,1,1,1,810,S,7,100,S,0.1,1.3,1,100,C,0.3,0.3,1,NA,CAMPBELL,NA,NA,NA,NA,NA,B22AW09SW1/B15SW06AW4,NA,9,U,0,NA,Aw,NA,NA,NA,21700414,PGYI,1962,2,1,E14,FMA8800025,54,18,5,NA,NA,NA,NA,958,0,NA,529195.24,5951901.75,UTM11,NAD83,53.71497947,-116.55762303,LF,WC,e,e3,CUT TREES IN NE CORNER (2004 obs),2
WFML,2010514_1,6,9,T,NA,1.3,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,14,99,9,NA,NA,NA,NA,NA,NA,NA,NA,1998,12,1,N,1,1,1,810,S,7,100,S,0.1,1.3,1,100,C,0.3,0.3,1,NA,CAMPBELL,NA,NA,NA,NA,NA,B22AW09SW1/B15SW06AW4,WARNING - measurement <1 year after previous,9,U,0,NA,Aw,NA,NA,NA,21700414,PGYI,1962,2,1,E14,FMA8800025,54,18,5,NA,NA,NA,NA,958,0,NA,529195.24,5951901.75,UTM11,NAD83,53.71497947,-116.55762303,LF,WC,e,e3,CUT TREES IN NE CORNER (2004 obs),2
WFML,2010514_1,5,16,T,NA,1.3,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,14,99,9,NA,NA,NA,NA,NA,NA,NA,NA,1998,1,1,N,1,1,1,810,S,7,100,S,0.1,1.3,1,100,C,0.3,0.3,1,NA,CAMPBELL,NA,NA,NA,NA,NA,B22AW09SW1/B15SW06AW4,NA,16,U,0,NA,Sw,NA,NA,NA,21700414,PGYI,1962,2,1,E14,FMA8800025,54,18,5,NA,NA,NA,NA,958,0,NA,529195.24,5951901.75,UTM11,NAD83,53.71497947,-116.55762303,LF,WC,e,e3,CUT TREES IN NE CORNER (2004 obs),2
WFML,2010514_1,6,16,T,NA,1.3,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,14,99,9,NA,NA,NA,NA,NA,NA,NA,NA,1998,12,1,N,1,1,1,810,S,7,100,S,0.1,1.3,1,100,C,0.3,0.3,1,NA,CAMPBELL,NA,NA,NA,NA,NA,B22AW09SW1/B15SW06AW4,WARNING - measurement <1 year after previous,16,U,0,NA,Sw,NA,NA,NA,21700414,PGYI,1962,2,1,E14,FMA8800025,54,18,5,NA,NA,NA,NA,958,0,NA,529195.24,5951901.75,UTM11,NAD83,53.71497947,-116.55762303,LF,WC,e,e3,CUT TREES IN NE CORNER (2004 obs),2
WFML,2010514_1,5,27,T,NA,1.3,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,14,99,9,NA,NA,NA,NA,NA,NA,NA,NA,1998,1,1,N,1,1,1,810,S,7,100,S,0.1,1.3,1,100,C,0.3,0.3,1,NA,CAMPBELL,NA,NA,NA,NA,NA,B22AW09SW1/B15SW06AW4,NA,27,U,0,NA,Aw,NA,NA,NA,21700414,PGYI,1962,2,1,E14,FMA8800025,54,18,5,NA,NA,NA,NA,958,0,NA,529195.24,5951901.75,UTM11,NAD83,53.71497947,-116.55762303,LF,WC,e,e3,CUT TREES IN NE CORNER (2004 obs),2
WFML,2010514_1,6,27,T,NA,1.3,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,14,99,9,NA,NA,NA,NA,NA,NA,NA,NA,1998,12,1,N,1,1,1,810,S,7,100,S,0.1,1.3,1,100,C,0.3,0.3,1,NA,CAMPBELL,NA,NA,NA,NA,NA,B22AW09SW1/B15SW06AW4,WARNING - measurement <1 year after previous,27,U,0,NA,Aw,NA,NA,NA,21700414,PGYI,1962,2,1,E14,FMA8800025,54,18,5,NA,NA,NA,NA,958,0,NA,529195.24,5951901.75,UTM11,NAD83,53.71497947,-116.55762303,LF,WC,e,e3,CUT TREES IN NE CORNER (2004 obs),2
WFML,2010514_1,5,35,T,NA,1.3,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,14,99,9,NA,NA,NA,NA,NA,NA,NA,NA,1998,1,1,N,1,1,1,810,S,7,100,S,0.1,1.3,1,100,C,0.3,0.3,1,NA,CAMPBELL,NA,NA,NA,NA,NA,B22AW09SW1/B15SW06AW4,NA,35,U,0,NA,Aw,NA,NA,NA,21700414,PGYI,1962,2,1,E14,FMA8800025,54,18,5,NA,NA,NA,NA,958,0,NA,529195.24,5951901.75,UTM11,NAD83,53.71497947,-116.55762303,LF,WC,e,e3,CUT TREES IN NE CORNER (2004 obs),2
WFML,2010514_1,6,35,T,NA,1.3,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,14,99,9,NA,NA,NA,NA,NA,NA,NA,NA,1998,12,1,N,1,1,1,810,S,7,100,S,0.1,1.3,1,100,C,0.3,0.3,1,NA,CAMPBELL,NA,NA,NA,NA,NA,B22AW09SW1/B15SW06AW4,WARNING - measurement <1 year after previous,35,U,0,NA,Aw,NA,NA,NA,21700414,PGYI,1962,2,1,E14,FMA8800025,54,18,5,NA,NA,NA,NA,958,0,NA,529195.24,5951901.75,UTM11,NAD83,53.71497947,-116.55762303,LF,WC,e,e3,CUT TREES IN NE CORNER (2004 obs),2
WFML,2010514_1,5,42,T,NA,1.3,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,14,99,9,NA,NA,NA,NA,NA,NA,NA,NA,1998,1,1,N,1,1,1,810,S,7,100,S,0.1,1.3,1,100,C,0.3,0.3,1,NA,CAMPBELL,NA,NA,NA,NA,NA,B22AW09SW1/B15SW06AW4,NA,42,U,0,NA,Aw,NA,NA,NA,21700414,PGYI,1962,2,1,E14,FMA8800025,54,18,5,NA,NA,NA,NA,958,0,NA,529195.24,5951901.75,UTM11,NAD83,53.71497947,-116.55762303,LF,WC,e,e3,CUT TREES IN NE CORNER (2004 obs),2
WFML,2010514_1,6,42,T,NA,1.3,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,14,99,9,NA,NA,NA,NA,NA,NA,NA,NA,1998,12,1,N,1,1,1,810,S,7,100,S,0.1,1.3,1,100,C,0.3,0.3,1,NA,CAMPBELL,NA,NA,NA,NA,NA,B22AW09SW1/B15SW06AW4,WARNING - measurement <1 year after previous,42,U,0,NA,Aw,NA,NA,NA,21700414,PGYI,1962,2,1,E14,FMA8800025,54,18,5,NA,NA,NA,NA,958,0,NA,529195.24,5951901.75,UTM11,NAD83,53.71497947,-116.55762303,LF,WC,e,e3,CUT TREES IN NE CORNER (2004 obs),2
WFML,2010514_1,5,69,T,NA,1.3,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,14,99,9,NA,NA,NA,NA,NA,NA,NA,NA,1998,1,1,N,1,1,1,810,S,7,100,S,0.1,1.3,1,100,C,0.3,0.3,1,NA,CAMPBELL,NA,NA,NA,NA,NA,B22AW09SW1/B15SW06AW4,NA,69,U,0,NA,Sw,NA,NA,NA,21700414,PGYI,1962,2,1,E14,FMA8800025,54,18,5,NA,NA,NA,NA,958,0,NA,529195.24,5951901.75,UTM11,NAD83,53.71497947,-116.55762303,LF,WC,e,e3,CUT TREES IN NE CORNER (2004 obs),2
WFML,2010514_1,6,69,T,NA,1.3,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,14,99,9,NA,NA,NA,NA,NA,NA,NA,NA,1998,12,1,N,1,1,1,810,S,7,100,S,0.1,1.3,1,100,C,0.3,0.3,1,NA,CAMPBELL,NA,NA,NA,NA,NA,B22AW09SW1/B15SW06AW4,WARNING - measurement <1 year after previous,69,U,0,NA,Sw,NA,NA,NA,21700414,PGYI,1962,2,1,E14,FMA8800025,54,18,5,NA,NA,NA,NA,958,0,NA,529195.24,5951901.75,UTM11,NAD83,53.71497947,-116.55762303,LF,WC,e,e3,CUT TREES IN NE CORNER (2004 obs),2
WFML,2010514_1,5,75,T,9.4,1.3,NA,NA,12.7,I,NA,NA,NA,NA,NA,10,0.5,0.5,9,99,9,NA,NA,NA,NA,NA,NA,NA,NA,1998,1,1,N,1,1,1,810,S,7,100,S,0.1,1.3,1,100,C,0.3,0.3,1,NA,CAMPBELL,NA,NA,NA,NA,NA,B22AW09SW1/B15SW06AW4,NA,75,SU,0,NA,Aw,NA,NA,NA,21700414,PGYI,1962,2,1,E14,FMA8800025,54,18,5,NA,NA,NA,NA,958,0,NA,529195.24,5951901.75,UTM11,NAD83,53.71497947,-116.55762303,LF,WC,e,e3,CUT TREES IN NE CORNER (2004 obs),2
WFML,2010514_1,6,75,T,9.4,1.3,NA,NA,13,N,NA,NA,NA,NA,NA,NA,NA,NA,1,99,9,NA,NA,NA,NA,NA,NA,NA,NA,1998,12,1,N,1,1,1,810,S,7,100,S,0.1,1.3,1,100,C,0.3,0.3,1,NA,CAMPBELL,NA,NA,NA,NA,NA,B22AW09SW1/B15SW06AW4,WARNING - measurement <1 year after previous,75,SU,0,NA,Aw,NA,NA,NA,21700414,PGYI,1962,2,1,E14,FMA8800025,54,18,5,NA,NA,NA,NA,958,0,NA,529195.24,5951901.75,UTM11,NAD83,53.71497947,-116.55762303,LF,WC,e,e3,CUT TREES IN NE CORNER (2004 obs),2
WFML,2010514_1,5,96,T,NA,1.3,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,2,99,9,NA,NA,NA,NA,NA,NA,NA,NA,1998,1,1,N,1,1,1,810,S,7,100,S,0.1,1.3,1,100,C,0.3,0.3,1,NA,CAMPBELL,NA,NA,NA,NA,NA,B22AW09SW1/B15SW06AW4,NA,96,U,0,NA,Sw,NA,NA,NA,21700414,PGYI,1962,2,1,E14,FMA8800025,54,18,5,NA,NA,NA,NA,958,0,NA,529195.24,5951901.75,UTM11,NAD83,53.71497947,-116.55762303,LF,WC,e,e3,CUT TREES IN NE CORNER (2004 obs),2
WFML,2010514_1,6,96,T,NA,1.3,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,14,99,9,NA,NA,NA,NA,NA,NA,NA,NA,1998,12,1,N,1,1,1,810,S,7,100,S,0.1,1.3,1,100,C,0.3,0.3,1,NA,CAMPBELL,NA,NA,NA,NA,NA,B22AW09SW1/B15SW06AW4,WARNING - measurement <1 year after previous,96,U,0,NA,Sw,NA,NA,NA,21700414,PGYI,1962,2,1,E14,FMA8800025,54,18,5,NA,NA,NA,NA,958,0,NA,529195.24,5951901.75,UTM11,NAD83,53.71497947,-116.55762303,LF,WC,e,e3,CUT TREES IN NE CORNER (2004 obs),2
WFML,2010514_1,5,105,T,NA,1.3,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,2,99,9,NA,NA,NA,NA,NA,NA,NA,NA,1998,1,1,N,1,1,1,810,S,7,100,S,0.1,1.3,1,100,C,0.3,0.3,1,NA,CAMPBELL,NA,NA,NA,NA,NA,B22AW09SW1/B15SW06AW4,NA,105,U,0,NA,Sw,NA,NA,NA,21700414,PGYI,1962,2,1,E14,FMA8800025,54,18,5,NA,NA,NA,NA,958,0,NA,529195.24,5951901.75,UTM11,NAD83,53.71497947,-116.55762303,LF,WC,e,e3,CUT TREES IN NE CORNER (2004 obs),2
WFML,2010514_1,6,105,T,NA,1.3,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,14,99,9,NA,NA,NA,NA,NA,NA,NA,NA,1998,12,1,N,1,1,1,810,S,7,100,S,0.1,1.3,1,100,C,0.3,0.3,1,NA,CAMPBELL,NA,NA,NA,NA,NA,B22AW09SW1/B15SW06AW4,WARNING - measurement <1 year after previous,105,U,0,NA,Sw,NA,NA,NA,21700414,PGYI,1962,2,1,E14,FMA8800025,54,18,5,NA,NA,NA,NA,958,0,NA,529195.24,5951901.75,UTM11,NAD83,53.71497947,-116.55762303,LF,WC,e,e3,CUT TREES IN NE CORNER (2004 obs),2
WFML,4010498_1,3,2,T,16.3,1.3,NA,NA,13.1,N,NA,NA,NA,NA,NA,0,NA,NA,9,99,9,NA,NA,NA,NA,NA,NA,NA,NA,1976,1,1,N,1,1,1,810,S,7.6,0,NA,NA,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,U,0,NA,Pl,NA,NA,NA,42301690,PGYI,1958,1,1,E14,FMA8800025,49,22,5,NA,NA,NA,7,1369,2,SW,495079.57,5896808.66,UTM11,NAD83,53.22055693,-117.07369457,UF,WC,e,e1,NA,2
WFML,4010498_1,4,2,T,16.3,1.3,NA,NA,14.9,N,NA,NA,NA,NA,NA,0,NA,NA,9,99,9,NA,NA,NA,NA,NA,NA,NA,NA,1976,9,1,N,1,1,1,810,S,7.6,0,NA,NA,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,WARNING - measurement <1 year after previous,2,U,0,NA,Pl,NA,NA,NA,42301690,PGYI,1958,1,1,E14,FMA8800025,49,22,5,NA,NA,NA,7,1369,2,SW,495079.57,5896808.66,UTM11,NAD83,53.22055693,-117.07369457,UF,WC,e,e1,NA,2
WFML,4010498_1,3,21,T,17.5,1.3,NA,NA,14.3,N,NA,NA,NA,NA,NA,0,NA,NA,0,99,9,NA,NA,NA,NA,NA,NA,NA,NA,1976,1,1,N,1,1,1,810,S,7.6,0,NA,NA,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,U,0,NA,Pl,NA,NA,NA,42301690,PGYI,1958,1,1,E14,FMA8800025,49,22,5,NA,NA,NA,7,1369,2,SW,495079.57,5896808.66,UTM11,NAD83,53.22055693,-117.07369457,UF,WC,e,e1,NA,2
WFML,4010498_1,4,21,T,17.5,1.3,NA,NA,14.3,N,NA,NA,NA,NA,NA,0,NA,NA,0,99,9,NA,NA,NA,NA,NA,NA,NA,NA,1976,9,1,N,1,1,1,810,S,7.6,0,NA,NA,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,WARNING - measurement <1 year after previous,21,U,0,NA,Pl,NA,NA,NA,42301690,PGYI,1958,1,1,E14,FMA8800025,49,22,5,NA,NA,NA,7,1369,2,SW,495079.57,5896808.66,UTM11,NAD83,53.22055693,-117.07369457,UF,WC,e,e1,NA,2
WFML,4010498_1,3,44,T,13.2,1.3,NA,NA,12.8,N,NA,NA,NA,NA,NA,0,NA,NA,0,99,9,NA,NA,NA,NA,NA,NA,NA,NA,1976,1,1,N,1,1,1,810,S,7.6,0,NA,NA,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,U,0,NA,Pl,NA,NA,NA,42301690,PGYI,1958,1,1,E14,FMA8800025,49,22,5,NA,NA,NA,7,1369,2,SW,495079.57,5896808.66,UTM11,NAD83,53.22055693,-117.07369457,UF,WC,e,e1,NA,2
WFML,4010498_1,4,44,T,13.2,1.3,NA,NA,13.4,N,NA,NA,NA,NA,NA,0,NA,NA,0,99,9,NA,NA,NA,NA,NA,NA,NA,NA,1976,9,1,N,1,1,1,810,S,7.6,0,NA,NA,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,WARNING - measurement <1 year after previous,44,U,0,NA,Pl,NA,NA,NA,42301690,PGYI,1958,1,1,E14,FMA8800025,49,22,5,NA,NA,NA,7,1369,2,SW,495079.57,5896808.66,UTM11,NAD83,53.22055693,-117.07369457,UF,WC,e,e1,NA,2
WFML,4010498_1,3,79,T,14.7,1.3,NA,NA,14.9,N,NA,NA,NA,NA,NA,0,NA,NA,0,99,9,NA,NA,NA,NA,NA,NA,NA,NA,1976,1,1,N,1,1,1,810,S,7.6,0,NA,NA,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,79,U,0,NA,Pl,NA,NA,NA,42301690,PGYI,1958,1,1,E14,FMA8800025,49,22,5,NA,NA,NA,7,1369,2,SW,495079.57,5896808.66,UTM11,NAD83,53.22055693,-117.07369457,UF,WC,e,e1,NA,2
WFML,4010498_1,4,79,T,14.7,1.3,NA,NA,15.2,N,NA,NA,NA,NA,NA,0,NA,NA,1,99,9,NA,NA,NA,NA,NA,NA,NA,NA,1976,9,1,N,1,1,1,810,S,7.6,0,NA,NA,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,WARNING - measurement <1 year after previous,79,U,0,NA,Pl,NA,NA,NA,42301690,PGYI,1958,1,1,E14,FMA8800025,49,22,5,NA,NA,NA,7,1369,2,SW,495079.57,5896808.66,UTM11,NAD83,53.22055693,-117.07369457,UF,WC,e,e1,NA,2
WFML,4010498_1,3,95,T,10.4,1.3,NA,NA,13.1,N,NA,NA,NA,NA,NA,0,NA,NA,9,99,9,NA,NA,NA,NA,NA,NA,NA,NA,1976,1,1,N,1,1,1,810,S,7.6,0,NA,NA,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,95,U,0,NA,Pl,NA,NA,NA,42301690,PGYI,1958,1,1,E14,FMA8800025,49,22,5,NA,NA,NA,7,1369,2,SW,495079.57,5896808.66,UTM11,NAD83,53.22055693,-117.07369457,UF,WC,e,e1,NA,2
WFML,4010498_1,4,95,T,10.4,1.3,NA,NA,12.5,N,NA,NA,NA,NA,NA,0,NA,NA,9,99,9,NA,NA,NA,NA,NA,NA,NA,NA,1976,9,1,N,1,1,1,810,S,7.6,0,NA,NA,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,WARNING - measurement <1 year after previous,95,U,0,NA,Pl,NA,NA,NA,42301690,PGYI,1958,1,1,E14,FMA8800025,49,22,5,NA,NA,NA,7,1369,2,SW,495079.57,5896808.66,UTM11,NAD83,53.22055693,-117.07369457,UF,WC,e,e1,NA,2
WFML,4010498_1,3,121,T,13.2,1.3,NA,NA,14.6,N,NA,NA,NA,NA,NA,0,NA,NA,0,99,9,NA,NA,NA,NA,NA,NA,NA,NA,1976,1,1,N,1,1,1,810,S,7.6,0,NA,NA,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,121,U,0,NA,Pl,NA,NA,NA,42301690,PGYI,1958,1,1,E14,FMA8800025,49,22,5,NA,NA,NA,7,1369,2,SW,495079.57,5896808.66,UTM11,NAD83,53.22055693,-117.07369457,UF,WC,e,e1,NA,2
WFML,4010498_1,4,121,T,13.2,1.3,NA,NA,14.6,N,NA,NA,NA,NA,NA,0,NA,NA,0,99,9,NA,NA,NA,NA,NA,NA,NA,NA,1976,9,1,N,1,1,1,810,S,7.6,0,NA,NA,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,WARNING - measurement <1 year after previous,121,U,0,NA,Pl,NA,NA,NA,42301690,PGYI,1958,1,1,E14,FMA8800025,49,22,5,NA,NA,NA,7,1369,2,SW,495079.57,5896808.66,UTM11,NAD83,53.22055693,-117.07369457,UF,WC,e,e1,NA,2
WFML,4010498_1,3,129,T,7.6,1.3,NA,NA,6.7,N,NA,NA,NA,NA,NA,0,NA,NA,0,99,9,NA,NA,NA,NA,NA,NA,NA,NA,1976,1,1,N,1,1,1,810,S,7.6,0,NA,NA,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,129,U,0,NA,Pl,NA,NA,NA,42301690,PGYI,1958,1,1,E14,FMA8800025,49,22,5,NA,NA,NA,7,1369,2,SW,495079.57,5896808.66,UTM11,NAD83,53.22055693,-117.07369457,UF,WC,e,e1,NA,2
WFML,4010498_1,4,129,T,7.6,1.3,NA,NA,7.6,N,NA,NA,NA,NA,NA,0,NA,NA,0,99,9,NA,NA,NA,NA,NA,NA,NA,NA,1976,9,1,N,1,1,1,810,S,7.6,0,NA,NA,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,WARNING - measurement <1 year after previous,129,U,0,NA,Pl,NA,NA,NA,42301690,PGYI,1958,1,1,E14,FMA8800025,49,22,5,NA,NA,NA,7,1369,2,SW,495079.57,5896808.66,UTM11,NAD83,53.22055693,-117.07369457,UF,WC,e,e1,NA,2
