company,company_plot_number,company_stand_number,plot_program,establishment_year,establishment_month,establishment_day,fmu,fma,ats_township,ats_range,ats_meridian,ats_section,opening_number,sampling_unit_number,topographic_position,elevation,slope,aspect,x_coord,y_coord,utm_zone,datum,latitude,longitude,natural_subregion,ecosite_guide,ecosite,ecosite_phase,plot_comment,shared
GOA,106.1,106,MPB,1962,7,4,R13,FMA9700032,43,18,5,26,NA,.,4,1528,15,S,533342.23045,5843222.8095,UTM11,NAD83,52.737844,-116.506158,UF,WC,d,d1,NA,2
GOA,106.1,106,MPB,1962,7,4,R13,FMA9700032,43,18,5,26,NA,.,4,1528,15,S,533342.23045,5843222.8095,UTM11,NAD83,52.737844,-116.506158,UF,WC,d,d1,NA,2
GOA,142.1,142,PGYI,1962,9,1,R10,FMA9200030,37,14,5,9,NA,.,5,1730,20,N,572059.14153,5779372.24345,UTM11,NAD83,52.160135,-115.946571,SA,WC,d,d3,NA,2
GOA,142.1,142,PGYI,1962,9,1,R10,FMA9200030,37,14,5,9,NA,.,5,1730,20,N,572059.14153,5779372.24345,UTM11,NAD83,52.160135,-115.946571,SA,WC,d,d3,NA,2
GOA,1564.1,1564,PGYI,1987,5,28,R10,FMA9200030,37,10,5,10,5100370153,.,2,1426,11,W,612317.11301,5780662.28702,UTM11,NAD83,52.165006,-115.35783,UF,WC,e,e1,NA,2
GOA,1564.1,1564,PGYI,1987,5,28,R10,FMA9200030,37,10,5,10,5100370153,.,2,1426,11,W,612317.11301,5780662.28702,UTM11,NAD83,52.165006,-115.35783,UF,WC,e,e1,NA,2
GOA,186.2,186,PGYI,1963,8,1,W6,FMA0900046,49,12,5,34,NA,.,5,948,3,NE,589319.3497,5902922.95166,UTM11,NAD83,53.26802,-115.660725,LF,WC,i,i1,NA,2
GOA,186.2,186,PGYI,1963,8,1,W6,FMA0900046,49,12,5,34,NA,.,5,948,3,NE,589319.3497,5902922.95166,UTM11,NAD83,53.26802,-115.660725,LF,WC,i,i1,NA,2
GOA,199.1,199,PGYI,1963,8,23,W6,FMA0900046,50,9,5,22,NA,.,2,873,0,NA,617121.57895,5910938.68804,UTM11,NAD83,53.33463,-115.241084,CM,N,d,d2,NA,2
GOA,199.1,199,PGYI,1963,8,23,W6,FMA0900046,50,9,5,22,NA,.,2,873,0,NA,617121.57895,5910938.68804,UTM11,NAD83,53.33463,-115.241084,CM,N,d,d2,NA,2
GOA,2006.1,2006,PGYI,1987,7,24,R10,FMA9200030,32,9,5,5,5090320057,.,5,1710,20,SE,621642.73098,5730264.67796,UTM11,NAD83,51.710118,-115.239373,SA,WC,c,c1,NA,2
GOA,2006.1,2006,PGYI,1987,7,24,R10,FMA9200030,32,9,5,5,5090320057,.,5,1710,20,SE,621642.73098,5730264.67796,UTM11,NAD83,51.710118,-115.239373,SA,WC,c,c1,NA,2
GOA,2011.1,2011,PGYI,1987,8,19,R10,FMA9200030,30,9,5,7,5090300028,.,3,1621,2,E,621281.28695,5712722.55404,UTM11,NAD83,51.55254,-115.250678,UF,WC,c,c1,NA,2
GOA,2011.1,2011,PGYI,1987,8,19,R10,FMA9200030,30,9,5,7,5090300028,.,3,1621,2,E,621281.28695,5712722.55404,UTM11,NAD83,51.55254,-115.250678,UF,WC,c,c1,NA,2
GOA,204.1,204,PGYI,1963,8,5,W6,FMA0900046,50,10,5,17,NA,.,6,935,6,SW,604909.44725,5908909.05872,UTM11,NAD83,53.318955,-115.425075,LF,WC,d,d1,NA,1
GOA,204.1,204,PGYI,1963,8,5,W6,FMA0900046,50,10,5,17,NA,.,6,935,6,SW,604909.44725,5908909.05872,UTM11,NAD83,53.318955,-115.425075,LF,WC,d,d1,NA,1
GOA,205.1,205,PGYI,1963,9,1,W6,FMA0900046,51,10,5,28,NA,.,6,906,1,SW,604829.54233,5921075.39774,UTM11,NAD83,53.428291,-115.422239,LF,WC,i,i1,NA,2
GOA,205.1,205,PGYI,1963,9,1,W6,FMA0900046,51,10,5,28,NA,.,6,906,1,SW,604829.54233,5921075.39774,UTM11,NAD83,53.428291,-115.422239,LF,WC,i,i1,NA,2
GOA,247.2,247,MPB,1964,7,25,W15,FMA8900026,59,21,5,3,NA,.,3,1136,2,NW,495379.92354,5990964.93555,UTM11,NAD83,54.066878,-117.070595,UF,WC,f,f3,NA,2
GOA,247.2,247,MPB,1964,7,25,W15,FMA8900026,59,21,5,3,NA,.,3,1136,2,NW,495379.92354,5990964.93555,UTM11,NAD83,54.066878,-117.070595,UF,WC,f,f3,NA,2
GOA,249.3,249,MPB,1964,7,28,W15,FMA8900026,59,22,5,2,NA,.,2,1123,4,SW,487461.02301,5991088.43002,UTM11,NAD83,54.067857,-117.191602,UF,WC,e,e1,NA,2
GOA,249.3,249,MPB,1964,7,28,W15,FMA8900026,59,22,5,2,NA,.,2,1123,4,SW,487461.02301,5991088.43002,UTM11,NAD83,54.067857,-117.191602,UF,WC,e,e1,NA,2
GOA,276.1,276,MPB,1965,6,15,G15,FMA9900037,64,24,5,11,NA,.,7,867,0,NA,466040.53723,6041282.30582,UTM11,NAD83,54.517988,-117.52461,LF,WC,e,e1,NA,2
GOA,276.1,276,MPB,1965,6,15,G15,FMA9900037,64,24,5,11,NA,.,7,867,0,NA,466040.53723,6041282.30582,UTM11,NAD83,54.517988,-117.52461,LF,WC,e,e1,NA,2
GOA,285.1,285,PGYI,1965,7,16,P19,FMA0900045,90,4,6,8,NA,.,4,839,3,N,402939.53753,6295334.09753,UTM11,NAD83,56.791777,-118.588977,LBH,N,e,e1,NA,2
GOA,285.1,285,PGYI,1965,7,16,P19,FMA0900045,90,4,6,8,NA,.,4,839,3,N,402939.53753,6295334.09753,UTM11,NAD83,56.791777,-118.588977,LBH,N,e,e1,NA,2
GOA,3007.1,3007,PGYI,1985,8,27,S17,FMA0600043,75,2,5,23,5020750301,.,NA,837,0,SE,677367.72098,6154567.201,UTM11,NAD83,55.504943,-114.191488,LF,WC,e,e2,NA,1
GOA,3007.1,3007,PGYI,1985,8,27,S17,FMA0600043,75,2,5,23,5020750301,.,NA,837,0,SE,677367.72098,6154567.201,UTM11,NAD83,55.504943,-114.191488,LF,WC,e,e2,NA,1
GOA,3016.1,3016,PGYI,1985,9,9,S17,FMA0600043,75,2,5,23,5020750293,.,NA,830,0,W,677233.01003,6154720.62597,UTM11,NAD83,55.506368,-114.19352,LF,WC,f,f3,NA,2
GOA,3016.1,3016,PGYI,1985,9,9,S17,FMA0600043,75,2,5,23,5020750293,.,NA,830,0,W,677233.01003,6154720.62597,UTM11,NAD83,55.506368,-114.19352,LF,WC,f,f3,NA,2
GOA,375.1,375,PGYI,1988,9,28,S23,FMA9100029,70,24,4,21,NA,.,3,626,1,W,333957.24629,6105734.78486,UTM12,NAD83,55.070571,-113.600567,CM,N,d,d2,NA,2
GOA,375.1,375,PGYI,1988,9,28,S23,FMA9100029,70,24,4,21,NA,.,3,626,1,W,333957.24629,6105734.78486,UTM12,NAD83,55.070571,-113.600567,CM,N,d,d2,NA,2
GOA,400.1,400,PGYI,1981,10,13,SO1,NA,71,1,5,25,NA,.,2,650,1,NW,690057.25503,6119229.15399,UTM11,NAD83,55.183064,-114.01482,CM,N,d,d1,NA,2
GOA,400.1,400,PGYI,1981,10,13,SO1,NA,71,1,5,25,NA,.,2,650,1,NW,690057.25503,6119229.15399,UTM11,NAD83,55.183064,-114.01482,CM,N,d,d1,NA,2
GOA,402.1,402,PGYI,1981,10,15,S17,FMA0600043,76,5,5,28,NA,.,2,708,2,N,644424.78496,6166066.38998,UTM11,NAD83,55.619033,-114.706591,LF,WC,d,d1,NA,2
GOA,402.1,402,PGYI,1981,10,15,S17,FMA0600043,76,5,5,28,NA,.,2,708,2,N,644424.78496,6166066.38998,UTM11,NAD83,55.619033,-114.706591,LF,WC,d,d1,NA,2
GOA,4025.1,4025,PGYI,1986,9,25,E2,FMA0900046,53,19,5,16,NA,.,2,970,0,N,516795.32103,5936748.86803,UTM11,NAD83,53.579326,-116.746327,LF,WC,f,f3,NA,1
GOA,4025.1,4025,PGYI,1986,9,25,E2,FMA0900046,53,19,5,16,NA,.,2,970,0,N,516795.32103,5936748.86803,UTM11,NAD83,53.579326,-116.746327,LF,WC,f,f3,NA,1
GOA,4028.1,4028,PGYI,1986,10,7,R13,FMA9700032,52,18,5,20,5180528017,.,4,954,0,N,524740.23295,5927744.08602,UTM11,NAD83,53.498073,-116.627043,LF,WC,c,c3,NA,1
GOA,4028.1,4028,PGYI,1986,10,7,R13,FMA9700032,52,18,5,20,5180528017,.,4,954,0,N,524740.23295,5927744.08602,UTM11,NAD83,53.498073,-116.627043,LF,WC,c,c3,NA,1
GOA,4030.1,4030,PGYI,1986,10,9,E15,FMA0900046,51,16,5,4,5160510101,.,2,1100,0,S,546983.96095,5913922.36699,UTM11,NAD83,53.372326,-116.293805,LF,WC,f,f1,NA,2
GOA,4030.1,4030,PGYI,1986,10,9,E15,FMA0900046,51,16,5,4,5160510101,.,2,1100,0,S,546983.96095,5913922.36699,UTM11,NAD83,53.372326,-116.293805,LF,WC,f,f1,NA,2
GOA,4031.1,4031,PGYI,1986,10,14,E15,FMA0900046,51,16,5,11,5160510011,.,2,1072,0,NE,549890.81797,5915825.41802,UTM11,NAD83,53.389164,-116.249817,LF,WC,f,f3,NA,2
GOA,4031.1,4031,PGYI,1986,10,14,E15,FMA0900046,51,16,5,11,5160510011,.,2,1072,0,NE,549890.81797,5915825.41802,UTM11,NAD83,53.389164,-116.249817,LF,WC,f,f3,NA,2
GOA,4032.1,4032,PGYI,1986,10,21,G15,FMA9900037,64,26,5,21,5260640213,.,NA,878,0,NE,444001.08499,6045715.18404,UTM11,NAD83,54.555866,-117.865886,LF,WC,f,f1,NA,1
GOA,4032.1,4032,PGYI,1986,10,21,G15,FMA9900037,64,26,5,21,5260640213,.,NA,878,0,NE,444001.08499,6045715.18404,UTM11,NAD83,54.555866,-117.865886,LF,WC,f,f1,NA,1
GOA,4033.1,4033,PGYI,1986,10,21,G15,FMA9900037,64,26,5,26,5260640152,.,NA,880,0,NE,447493.11704,6046827.57202,UTM11,NAD83,54.566236,-117.812095,LF,WC,f,f3,NA,1
GOA,4033.1,4033,PGYI,1986,10,21,G15,FMA9900037,64,26,5,26,5260640152,.,NA,880,0,NE,447493.11704,6046827.57202,UTM11,NAD83,54.566236,-117.812095,LF,WC,f,f3,NA,1
GOA,4045.1,4045,PGYI,1987,5,12,R10,FMA9200030,35,7,5,31,5070350023,.,NA,1220,0,E,638643.26198,5768493.47301,UTM11,NAD83,52.049683,-114.978108,LF,WC,e,e1,NA,1
GOA,4045.1,4045,PGYI,1987,5,12,R10,FMA9200030,35,7,5,31,5070350023,.,NA,1220,0,E,638643.26198,5768493.47301,UTM11,NAD83,52.049683,-114.978108,LF,WC,e,e1,NA,1
GOA,4046.1,4046,PGYI,1987,5,13,R10,FMA9200030,35,7,5,31,5070350027,.,NA,1219,0,NA,638613.552,5768943.09603,UTM11,NAD83,52.05373,-114.978359,LF,WC,f,f3,NA,1
GOA,4046.1,4046,PGYI,1987,5,13,R10,FMA9200030,35,7,5,31,5070350027,.,NA,1219,0,NA,638613.552,5768943.09603,UTM11,NAD83,52.05373,-114.978359,LF,WC,f,f3,NA,1
GOA,4047.1,4047,PGYI,1987,5,14,R10,FMA9200030,35,7,5,32,5070350024,.,NA,1187,0,NE,638948.60297,5768821.39096,UTM11,NAD83,52.052553,-114.973525,LF,WC,f,f3,NA,2
GOA,4047.1,4047,PGYI,1987,5,14,R10,FMA9200030,35,7,5,32,5070350024,.,NA,1187,0,NE,638948.60297,5768821.39096,UTM11,NAD83,52.052553,-114.973525,LF,WC,f,f3,NA,2
GOA,4050.1,4050,PGYI,1987,5,16,R10,FMA9200030,35,7,5,31,5070350031,.,NA,1235,0,NA,637256.91,5767962.50603,UTM11,NAD83,52.045257,-114.998526,LF,WC,c,c1,NA,2
GOA,4050.1,4050,PGYI,1987,5,16,R10,FMA9200030,35,7,5,31,5070350031,.,NA,1235,0,NA,637256.91,5767962.50603,UTM11,NAD83,52.045257,-114.998526,LF,WC,c,c1,NA,2
GOA,4052.1,4052,PGYI,1987,5,17,R10,FMA9200030,36,8,5,36,5080360089,.,NA,1152,0,N,636312.46296,5777840.43095,UTM11,NAD83,52.134247,-115.008339,LF,WC,c,c3,NA,2
GOA,4052.1,4052,PGYI,1987,5,17,R10,FMA9200030,36,8,5,36,5080360089,.,NA,1152,0,N,636312.46296,5777840.43095,UTM11,NAD83,52.134247,-115.008339,LF,WC,c,c3,NA,2
GOA,4053.1,4053,PGYI,1987,5,26,R10,FMA9200030,36,9,5,23,5090360115,.,NA,1291,0,NW,624255.91801,5775094.10595,UTM11,NAD83,52.112411,-115.1854,UF,WC,c,c1,NA,2
GOA,4053.1,4053,PGYI,1987,5,26,R10,FMA9200030,36,9,5,23,5090360115,.,NA,1291,0,NW,624255.91801,5775094.10595,UTM11,NAD83,52.112411,-115.1854,UF,WC,c,c1,NA,2
GOA,4055.1,4055,PGYI,1987,5,27,R10,FMA9200030,36,9,5,17,5090360202,.,NA,1270,0,N,619094.38899,5772724.64995,UTM11,NAD83,52.092253,-115.261568,LF,WC,d,d1,NA,2
GOA,4055.1,4055,PGYI,1987,5,27,R10,FMA9200030,36,9,5,17,5090360202,.,NA,1270,0,N,619094.38899,5772724.64995,UTM11,NAD83,52.092253,-115.261568,LF,WC,d,d1,NA,2
GOA,4057.1,4057,PGYI,1987,5,30,R10,FMA9200030,34,7,5,14,5090380107,.,NA,1222,0,NE,621970.41995,5792612.99097,UTM11,NAD83,52.27035,-115.212454,LF,WC,c,c3,NA,2
GOA,4057.1,4057,PGYI,1987,5,30,R10,FMA9200030,34,7,5,14,5090380107,.,NA,1222,0,NE,621970.41995,5792612.99097,UTM11,NAD83,52.27035,-115.212454,LF,WC,c,c3,NA,2
GOA,4065.1,4065,PGYI,1987,6,14,R10,FMA9200030,37,9,5,24,NA,.,NA,1139,0,N,625706.30098000006,5784652.234,UTM11,NAD83,52.197973,-115.160693,LF,WC,d,d1,NA,2
GOA,4065.1,4065,PGYI,1987,6,14,R10,FMA9200030,37,9,5,24,NA,.,NA,1139,0,N,625706.30098000006,5784652.234,UTM11,NAD83,52.197973,-115.160693,LF,WC,d,d1,NA,2
GOA,423.1,423,PGYI,1989,9,26,EO1,NA,53,14,5,21,NA,.,6,873,1,NE,565263.33796,5938304.29601,UTM11,NAD83,53.589514,-116.014026,LF,WC,d,d1,NA,2
GOA,423.1,423,PGYI,1989,9,26,EO1,NA,53,14,5,21,NA,.,6,873,1,NE,565263.33796,5938304.29601,UTM11,NAD83,53.589514,-116.014026,LF,WC,d,d1,NA,2
GOA,448.1,448,PGYI,1983,6,26,S17,FMA0600043,76,5,5,28,NA,.,7,717,4,SE,644119.78202,6165745.68298,UTM11,NAD83,55.616244,-114.711598,LF,WC,e,e2,NA,1
GOA,448.1,448,PGYI,1983,6,26,S17,FMA0600043,76,5,5,28,NA,.,7,717,4,SE,644119.78202,6165745.68298,UTM11,NAD83,55.616244,-114.711598,LF,WC,e,e2,NA,1
GOA,450.1,450,PGYI,1983,6,29,S17,FMA0600043,75,2,5,21,NA,.,1,801,0,NA,673478.5,6154850.41195,UTM11,NAD83,55.50888,-114.252814,LF,WC,j,j1,NA,2
GOA,450.1,450,PGYI,1983,6,29,S17,FMA0600043,75,2,5,21,NA,.,1,801,0,NA,673478.5,6154850.41195,UTM11,NAD83,55.50888,-114.252814,LF,WC,j,j1,NA,2
GOA,455.1,455,PGYI,1983,7,19,S17,FMA0600043,78,2,5,20,NA,.,3,655,2,SW,670306.58103,6184657.12199,UTM11,NAD83,55.777524,-114.284523,CM,N,d,d1,NA,2
GOA,455.1,455,PGYI,1983,7,19,S17,FMA0600043,78,2,5,20,NA,.,3,655,2,SW,670306.58103,6184657.12199,UTM11,NAD83,55.777524,-114.284523,CM,N,d,d1,NA,2
GOA,462.1,462,PGYI,1990,5,1,H1,NA,51,24,5,6,NA,.,5,1273,19,E,465138.36498,5914091.20796,UTM11,NAD83,53.374782,-117.524018,UF,WC,e,e3,NA,2
GOA,462.1,462,PGYI,1990,5,1,H1,NA,51,24,5,6,NA,.,5,1273,19,E,465138.36498,5914091.20796,UTM11,NAD83,53.374782,-117.524018,UF,WC,e,e3,NA,2
GOA,464.1,464,PGYI,1990,5,1,H1,NA,51,24,5,5,NA,.,6,1373,24,S,465859.04103,5914054.07004,UTM11,NAD83,53.374495,-117.513182,UF,WC,c,c3,NA,2
GOA,464.1,464,PGYI,1990,5,1,H1,NA,51,24,5,5,NA,.,6,1373,24,S,465859.04103,5914054.07004,UTM11,NAD83,53.374495,-117.513182,UF,WC,c,c3,NA,2
GOA,476.1,476,PGYI,1989,11,8,C5,NA,11,1,5,1,NA,.,5,1691,42,W,714883.03798,5530319.03398,UTM11,NAD83,49.886641,-114.008447,MT,SW,d,d1,NA,2
GOA,476.1,476,PGYI,1989,11,8,C5,NA,11,1,5,1,NA,.,5,1691,42,W,714883.03798,5530319.03398,UTM11,NAD83,49.886641,-114.008447,MT,SW,d,d1,NA,2
